Farther,Closer,Difference
-0.223563289,0.355983102,0.579546391
-0.10703255,0.054243533,0.161276083
-0.187093959,0.143664169,0.330758128
-0.110472831,0.122475705,0.232948536
-0.170005673,0.108701889,0.278707561
-0.089734812,0.31833828,0.408073092
-0.327648779,0.201390849,0.529039628
-0.108736439,0.130210446,0.238946885
-0.093421111,0.134891011,0.228312123
-0.067453071,0.094294778,0.161747849
-0.614511105,0.352058979,0.966570084
-0.20606075,0.16368728,0.36974803
-0.101391508,0.081922376,0.183313884
-0.148332219,0.056976021,0.20530824
-0.048399994,0.002664703,0.051064696
-0.227427351,0.125877037,0.353304389
-0.364095601,0.27278412,0.636879721
-0.354166676,0.295035441,0.649202116
-0.188014562,0.120542503,0.308557065
-0.058072791,0.133474583,0.191547373
-0.27035418,0.263011252,0.533365432
-0.31976332,0.270360684,0.590124004
-0.225847036,0.228205315,0.454052351
-0.410270304,0.260250004,0.670520307
-0.298287448,0.17455726,0.472844708
